attribute,value,fixed,tupleid
stateavg,AL_AMI-1,f,567
provider number,10025,t,568
hospital name,G H LANIER MEMORIAL HOSPITAL,t,568
address1,4800 48TH ST,t,568
address2,,t,568
address3,,t,568
city,VALLEY,f,568
state,AL,f,568
zip code,36854,f,568
county name,CHAMBERS,t,568
phone number,3347561400,f,568
hospital type,Acute Care Hospitals,t,568
hospital owner,Voluntary non-profit - Other,t,568
emergency service,Yes,t,568
condition,Heart Attack,f,568
measure code,AMI-2,f,568
measure name,Heart Attack Patients Given Aspirin at Discharge,f,568
score,90%,t,568
sample,10 patients,t,568
stateavg,xL_xMI-2,f,568
provider number,10025,t,569
hospital name,G H LANIER MEMORIAL HOSPITAL,t,569
address1,4800 48TH ST,t,569
address2,,t,569
address3,,t,569
city,VALLEY,f,569
state,AL,f,569
zip code,36854,f,569
county name,CHAMBERS,t,569
phone number,3347561400,f,569
hospital type,Acute Care Hospitals,t,569
hospital owner,Voluntary non-profit - Other,t,569
emergency service,Yes,t,569
condition,Heart Attack,f,569
measure code,AMI-3,f,569
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,569
score,100%,t,569
sample,1 patients,t,569
stateavg,AL_AMI-3,t,569
provider number,10025,t,570
hospital name,G H LANIER MEMORIAL HOSPITAL,t,570
address1,4800 48TH ST,t,570
address2,,t,570
address3,,t,570
city,VALLEY,f,570
state,AL,f,570
zip code,36854,f,570
county name,CHAMBERS,t,570
phone number,3347561400,f,570
hospital type,Acute Care Hospitals,t,570
hospital owner,Voluntary non-profit - Other,t,570
emergency service,Yes,t,570
condition,Heart Attack,f,570
measure code,AMI-4,f,570
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,570
score,50%,t,570
sample,4 patients,t,570
stateavg,AL_AMI-4,t,570
provider number,10025,t,571
hospital name,G H LANIER MEMORIAL HOSPITAL,t,571
address1,4800 48TH ST,t,571
address2,,t,571
address3,,t,571
city,VALLEY,f,571
state,AL,f,571
zip code,36854,f,571
county name,CHAMBERS,t,571
phone number,3347561400,f,571
hospital type,Acute Care Hospitals,t,571
hospital owner,Voluntary non-profit - Other,t,571
emergency service,Yes,t,571
condition,Heart Attack,f,571
measure code,AMI-5,f,571
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,571
score,92%,t,571
sample,13 patients,t,571
stateavg,AL_AMI-5,f,571
provider number,10025,t,572
hospital name,G H LANIER MEMORIAL HOSPITAL,t,572
address1,4800 48TH ST,t,572
address2,,t,572
address3,,t,572
city,VALLEY,f,572
state,AL,f,572
zip code,36854,f,572
county name,CHAMBERS,t,572
phone number,3347561400,f,572
hospital type,Acute Care Hospitals,t,572
hospital owner,Voluntary non-profit - Other,t,572
emergency service,Yes,t,572
condition,Heart Attack,f,572
measure code,AMI-7A,f,572
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,572
score,0%,t,572
sample,2 patients,t,572
stateavg,AL_AMI-7A,f,572
provider number,10025,t,573
hospital name,G H LANIER MEMORIAL HOSPITAL,t,573
address1,4800 48TH ST,t,573
address2,,t,573
address3,,t,573
city,VALLEY,f,573
state,Ax,f,573
zip code,36854,f,573
county name,CHAMBERS,t,573
phone number,334x561400,t,573
hospital type,Acute Care Hospitals,t,573
hospital owner,Voluntary non-profit - Otxer,t,573
emergency service,Yes,t,573
condition,Heart Attack,f,573
measure code,AMI-8A,f,573
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,573
score,,t,573
sample,0 patients,t,573
stateavg,AL_AMI-8A,t,573
provider number,10025,t,574
hospital name,G H LANIER MEMORIAL HOSPITAL,t,574
address1,4800 48TH ST,t,574
address2,,t,574
address3,,t,574
city,VALLEY,f,574
state,AL,f,574
zip code,36854,f,574
county name,CHAMBERS,t,574
phone number,3347561400,f,574
hospital type,Acute Care Hospitals,t,574
hospital owner,Voluntary non-profit - Other,t,574
emergency service,Yes,t,574
condition,Heart Failure,f,574
measure code,HF-1,f,574
measure name,Heart Failure Patients Given Discharge Instructions,f,574
score,54%,t,574
stateavg,AL_HF-1,t,574
provider number,10025,t,575
hospital name,G H LANIER MEMORIAL HOSPITAL,t,575
address1,4800 48TH ST,t,575
address2,,t,575
address3,,t,575
city,VALLEY,f,575
state,AL,f,575
zip code,36854,f,575
county name,CHAMBERS,t,575
phone number,3347561400,f,575
hospital type,Acute Care Hospitals,t,575
hospital owner,Voluntary non-profit - Other,t,575
emergency service,Yes,t,575
condition,Heart Failure,f,575
measure code,HF-2,f,575
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,575
score,99%,t,575
sample,164 patients,t,575
stateavg,AL_HF-2,f,575
provider number,10025,t,576
hospital name,G H LANIER MEMORIAL HOSPITAL,t,576
address1,4800 48TH ST,t,576
address2,,t,576
address3,,t,576
city,VALLEY,f,576
state,AL,f,576
zip code,36854,f,576
county name,CHAMBERS,t,576
phone number,3347561400,f,576
hospital type,Acute Care Hospitals,t,576
hospital owner,Voluntary non-profit - Other,t,576
emergency service,Yes,t,576
condition,Heart Failure,f,576
measure code,HF-3,f,576
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,576
score,96%,t,576
sample,75 patients,t,576
stateavg,AL_HF-3,t,576
provider number,10025,t,577
hospital name,G H LANIER MEMORIAL HOSPITAL,t,577
address1,4800 48TH ST,t,577
address2,,t,577
address3,,t,577
city,VALLEY,f,577
state,AL,f,577
zip code,36854,f,577
county name,CHAMBERS,t,577
phone number,3347561400,f,577
hospital type,Acute Care Hospitals,t,577
hospital owner,Voluntary non-profit - Other,t,577
emergency service,Yes,t,577
condition,Heart Failure,f,577
measure code,HF-4,f,577
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,577
score,97%,t,577
sample,38 patients,t,577
stateavg,AL_HF-4,f,577
provider number,10025,t,578
hospital name,G H LANIER MEMORIAL HOSPITAL,t,578
address1,4800 48TH ST,t,578
address2,,t,578
address3,,t,578
city,VALLEY,f,578
state,AL,f,578
zip code,36854,f,578
county name,CHAMBERS,t,578
phone number,3347561400,f,578
hospital type,Acute Care Hospitals,t,578
hospital owner,Voluntary non-profit - Other,t,578
emergency service,Yes,t,578
condition,Pneumonia,t,578
measure code,PN-2,f,578
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,578
score,80%,t,578
sample,55 patients,t,578
stateavg,AL_PN-2,f,578
provider number,10025,t,579
hospital name,G H LANIER MEMORIAL HOSPITAL,t,579
address1,4800 48TH ST,t,579
address2,,t,579
address3,,t,579
city,VALLEx,f,579
state,AL,f,579
zip code,36854,f,579
county name,xHAMBERS,t,579
phone number,3347561400,f,579
hospital type,Acute Care Hospitals,t,579
hospital owner,Voluntary non-profit - Other,t,579
emergency service,Yes,t,579
condition,Pneumonia,f,579
measure code,PN-3B,f,579
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,579
score,95%,t,579
sample,43 patients,t,579
stateavg,AL_PN-3B,f,579
provider number,10025,t,580
hospital name,G H LANIER MEMORIAL HOSPITAL,t,580
address1,4800 48TH ST,t,580
address2,,t,580
address3,,t,580
city,VALLEY,f,580
state,AL,f,580
zip code,36854,f,580
county name,CHAMBERS,t,580
phone number,3347561400,f,580
hospital type,Acute Care Hospitals,t,580
hospital owner,Voluntary non-profit - Other,t,580
emergency service,xes,t,580
condition,Pneumonia,f,580
measure code,PN-4,f,580
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,580
score,91%,t,580
sample,34 patients,t,580
stateavg,AL_PN-4,t,580
provider number,10025,t,581
hospital name,G H LANIER MEMORIAL HOSPITAL,t,581
address1,4800 48TH ST,t,581
address2,,t,581
address3,,t,581
city,VALLEY,f,581
state,AL,f,581
zip code,36854,f,581
county name,CHAMBERS,t,581
phone number,3347561400,f,581
hospital type,Acute Care Hospitals,t,581
hospital owner,Voluntary non-profit - Other,t,581
emergency service,Yes,t,581
condition,Pneumonia,t,581
measure code,Px-5C,t,581
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,t,581
score,82%,t,581
sample,50 pxtients,t,581
stateavg,AL_PN-5C,t,581
provider number,10025,t,582
hospital name,G H LANIER MEMORIAL HOSPITAL,t,582
address1,4800 48TH ST,t,582
address2,,t,582
address3,,t,582
city,VALLEY,f,582
state,AL,f,582
zip code,36854,f,582
county name,CHAMBERS,t,582
phone number,3347561400,f,582
hospital type,Acute Care Hospitals,t,582
hospital owner,Voluntary non-profit - Other,t,582
emergency service,Yes,t,582
condition,Pneumonia,f,582
measure code,PN-6,f,582
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,582
score,85%,t,582
sample,52 patients,t,582
stateavg,AL_PN-6,f,582
provider number,10025,t,583
hospital name,G H LANIER MEMORIAL HOSPITAL,t,583
address1,4800 48TH ST,t,583
address2,,t,583
address3,,t,583
city,VALLEY,f,583
state,AL,f,583
zip code,36854,f,583
county name,CHAMBERS,t,583
phone number,3347561400,f,583
hospital type,Acute Care Hospitals,t,583
hospital owner,Voluntary non-profit - Other,t,583
emergency service,Yes,t,583
condition,Pneumonia,t,583
measure code,PN-7,f,583
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,583
score,75%,t,583
sample,60 patients,t,583
stateavg,AL_PN-7,f,583
provider number,10025,t,584
hospital name,G H LANIER MEMORIAL HOSPITAL,t,584
address1,4800 48TH ST,t,584
address2,,t,584
address3,,t,584
city,VALLEY,f,584
state,AL,f,584
zip code,36854,f,584
county name,CHAMBERS,t,584
phone number,3347561400,f,584
hospital type,Acute Care Hospitals,t,584
hospital owner,Voluntary non-profit - Other,t,584
emergency service,Yes,t,584
condition,Surgical Infection Prevention,f,584
measure code,SCIP-CARD-2,f,584
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,584
score,32%,t,584
sample,19 patients,t,584
stateavg,AL_SCIP-CARD-2,t,584
provider number,10025,t,585
hospital name,G H LANIER MEMORIAL HOSPITAL,t,585
address1,4800 48TH ST,t,585
address2,,t,585
address3,,t,585
city,VALLEY,f,585
state,AL,f,585
zip code,36854,f,585
county name,CHAMBERS,t,585
phone number,3347561400,f,585
hospital type,Acute Care Hospitals,t,585
hospital owner,Voluntary non-profit - Other,t,585
emergency service,Yes,t,585
condition,Surgical Infection Prevention,t,585
measure code,SCIP-INF-1,t,585
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,585
score,100%,t,585
sample,117 patients,t,585
stateavg,AL_SCIP-INF-1,t,585
provider number,10025,t,586
hospital name,G H LANIER MEMORIAL HOSPITAL,t,586
address1,4800 48TH ST,t,586
address2,,t,586
address3,,t,586
city,VALLEY,f,586
state,AL,f,586
zip code,36854,f,586
county name,CHAMBERS,t,586
phone number,3347561400,f,586
hospital type,Acute Care Hospitals,t,586
hospital owner,Voluntary non-profit - Other,t,586
emergency service,Yes,t,586
condition,Surgical Infection Prevention,f,586
measure code,SCIP-INF-2,f,586
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,586
score,93%,t,586
sample,118 patients,t,586
stateavg,AL_SCIP-INF-2,f,586
provider number,10025,t,587
hospital name,G H LANIER MEMORIAL HOSPITAL,t,587
address1,4800 48TH ST,t,587
address2,,t,587
address3,,t,587
city,VALLEY,f,587
state,AL,f,587
zip code,36854,f,587
county name,CHAMBERS,t,587
phone number,3347561400,f,587
hospital type,Acute Care Hospitals,t,587
hospital owner,Voluntary non-profit - Other,t,587
emergency service,Yes,t,587
condition,Surgical Infection Prevention,f,587
measure code,SCIP-INF-3,f,587
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,587
score,79%,t,587
sample,116 patients,t,587
stateavg,AL_SCIP-INF-3,t,587
provider number,10025,t,588
hospital name,G H LANIER MEMORIAL HOSPITAL,t,588
address1,4800 48TH ST,t,588
address2,,t,588
address3,,t,588
city,VALLEY,f,588
state,AL,f,588
zip code,36854,f,588
county name,CHAMBERS,t,588
phone number,3347561400,f,588
hospital type,Acute Care Hospitals,t,588
hospital owner,Voluntary non-profit - Other,t,588
emergency service,xes,t,588
condition,Surgical Infection Prevention,f,588
measure code,SCIP-INF-4,f,588
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,588
score,,t,588
sample,0 patients,t,588
stateavg,AL_SCIP-INF-4,t,588
provider number,10025,t,589
hospital name,G H LANIER MEMORIAL HOSPITAL,t,589
address1,4800 48TH ST,t,589
address2,,t,589
address3,,t,589
city,VALLEY,f,589
state,AL,f,589
zip code,36854,f,589
county name,CHAMBERS,t,589
phone number,3347561400,f,589
hospital type,Acuxe Care Hospixals,t,589
hospital owner,Voluntary non-profit - Other,t,589
emergency service,Yes,t,589
condition,Surgical Infection Prevention,t,589
measure code,SCIP-INF-6,f,589
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,589
score,96%,t,589
sample,172 patxents,t,589
stateavg,AL_SCIP-INF-6,t,589
provider number,10025,t,590
hospital name,G H LANIER MEMORIAL HOSPITAL,t,590
address1,4800 48TH ST,t,590
address2,,t,590
address3,,t,590
city,VALLEY,f,590
state,AL,f,590
zip code,36854,f,590
county name,CHAMBERS,t,590
phone number,3347561400,f,590
hospital type,Acute Care Hospitals,t,590
hospital owner,Voluntary non-profit - Other,t,590
emergency service,Yes,t,590
condition,Surgical Infection Prevention,t,590
measure code,SCIP-VTE-1,f,590
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,590
score,88%,t,590
sample,85 patients,t,590
stateavg,AL_SCIP-VTE-1,f,590
provider number,10025,t,591
hospital name,G H LANIER MEMORIAL HOSPITAL,t,591
address1,4800 48TH ST,t,591
address2,,t,591
address3,,t,591
city,VxLLEY,f,591
state,AL,f,591
zip code,36854,f,591
county name,CHAxBERS,t,591
phone number,3347561400,f,591
hospital type,Acute Care Hospitals,t,591
hospital owner,Voluntary non-profit - Other,t,591
emergency service,Yes,t,591
condition,Surgical Infection Prevention,f,591
measure code,SCIP-VTE-2,f,591
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,591
score,82%,t,591
sample,84 patients,t,591
stateavg,AL_SCIP-VTE-2,f,591
provider number,10027,t,592
hospital name,ELBA GENERAL HOSPITAL,t,592
address1,987 DRAYTON STREET,t,592
address2,,t,592
address3,,t,592
city,ELBA,f,592
state,AL,f,592
zip code,36323,f,592
county name,COFFEE,t,592
phone number,3348972257,f,592
hospital type,Acute Care Hospitals,t,592
hospital owner,Voluntary non-profit - Other,t,592
emergency service,Yes,t,592
condition,Heart Attack,f,592
measure code,AMI-1,f,592
measure name,Heart Attack Patients Given Aspirin at Arrival,f,592
score,,t,592
sample,,t,592
stateavg,AL_AMI-1,f,592
provider number,10027,t,593
hospital name,ELBA GENERAL HOSPITAL,t,593
address1,987 DRAYTON STREET,t,593
address2,,t,593
address3,,t,593
city,ELBA,f,593
state,Ax,f,593
zip code,36323,f,593
county name,COFFEE,t,593
phone number,3348972257,f,593
hospital type,Acute Care Hospitals,t,593
hospital owner,Voluntary non-profit - Other,t,593
emergency service,Yes,t,593
condition,Heart Attack,f,593
measure code,AMI-2,f,593
measure name,Heart Attack Patients Given Aspirin at Discharge,f,593
score,,t,593
sample,,t,593
stateavg,AL_AMI-2,t,593
provider number,10027,t,594
hospital name,ELBA GENERAL HOSPITAL,t,594
address1,987 DRAYTON STREET,t,594
address2,,t,594
address3,,t,594
city,ELBA,f,594
state,AL,f,594
zip code,36323,f,594
county name,COFFEE,t,594
phone number,33x8972257,t,594
hospital type,Acute Care Hospitals,t,594
hospital owner,Voluntary non-profit - Other,t,594
emergency service,Yes,t,594
condition,Heart Attack,f,594
measure code,AMI-3,f,594
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,594
score,,t,594
sample,,t,594
stateavg,AL_AMI-3,t,594
provider number,10027,t,595
hospital name,ELBA GENERAL HOSPITAL,t,595
address1,987 DRAYTON STREET,t,595
address2,,t,595
address3,,t,595
city,ELBA,f,595
state,AL,f,595
zip code,36323,f,595
county name,COFFEE,t,595
phone number,3348972257,f,595
hospital type,Acute Care Hospitals,t,595
hospital owner,Voluntary non-profit - Other,t,595
emergency service,Yes,t,595
condition,Heart Attack,f,595
measure code,AMI-4,f,595
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,595
score,,t,595
sample,,t,595
stateavg,AL_AMI-4,t,595
provider number,10027,t,596
hospital name,ELBA GENERAL HOSPITAL,t,596
address1,987 DRAYTON STREET,t,596
address2,,t,596
address3,,t,596
city,ELBA,f,596
state,AL,f,596
zip code,36323,f,596
county name,COFFEE,t,596
phone number,3348972257,f,596
hospital type,Acute Care Hospitals,t,596
hospital owner,Voluntary non-profit - Other,t,596
emergency service,Yes,t,596
condition,Heart Attack,f,596
measure code,AMI-5,f,596
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,596
score,,t,596
sample,,t,596
stateavg,AL_AMI-5,f,596
provider number,10027,t,597
hospital name,ELBA GENERAL HOSPITAL,t,597
address1,987 DRAYTON STREET,t,597
address2,,t,597
address3,,t,597
city,ELBA,f,597
state,AL,f,597
zip code,36323,f,597
county name,COFFEE,t,597
phone number,3348972257,f,597
hospital type,Acute Care Hospitals,t,597
hospital owner,Voluntary non-profit - Other,t,597
emergency service,Yes,t,597
condition,Heart Attack,f,597
measure code,AMI-7A,f,597
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,597
score,,t,597
sample,,t,597
stateavg,AL_AMI-7A,f,597
provider number,10027,t,598
hospital name,ELBA GENERAL HOSPITAL,t,598
address1,987 DRAYTON STREET,t,598
address2,,t,598
address3,,t,598
city,ELBA,f,598
state,AL,f,598
zip code,36323,f,598
county name,COFFEE,t,598
phone number,3348972257,f,598
hospital type,Acute Care Hospitals,t,598
hospital owner,Voluntary non-profit - Other,t,598
emergency service,Yes,t,598
condition,Heart Attack,f,598
measure code,AMI-8A,f,598
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,598
score,,t,598
sample,,t,598
stateavg,AL_AMI-8A,f,598
provider number,10027,t,599
hospital name,ELBA GENERAL HOSPITAL,t,599
address1,987 DRAYTON STREET,t,599
address2,,t,599
address3,,t,599
city,ELBA,f,599
state,AL,f,599
zip code,36323,f,599
county name,COFFEE,t,599
phone number,3348972257,f,599
hospital type,Acute Care Hospitals,t,599
hospital owner,Voluntary non-profit - Other,t,599
emergency service,Yes,t,599
condition,Heart Failure,f,599
measure code,HF-1,f,599
measure name,Heart Failure Patients Given Discharge Instructions,f,599
score,100%,t,599
sample,2 patients,t,599
stateavg,AL_HF-1,t,599
provider number,10027,t,600
hospital name,ELBA GENERAL HOSPITAL,t,600
address1,987 DRAYTON STREET,t,600
address2,,t,600
address3,,t,600
city,ELBA,f,600
state,AL,f,600
zip code,36323,f,600
county name,COFFEE,t,600
phone number,3348972257,f,600
hospital type,Acute Care Hospitals,t,600
hospital owner,Voluntary non-profit - Other,t,600
emergency service,Yes,t,600
condition,Heart Faixure,f,600
measure code,HF-2,f,600
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,600
score,100%,t,600
sample,3 patients,t,600
stateavg,AL_HF-2,f,600
provider number,10027,t,601
hospital name,ELBA GENERAL HOSPITAL,t,601
address1,987 DRAYTON STREET,t,601
address2,,t,601
address3,,t,601
city,ELBA,f,601
state,AL,f,601
zip code,36323,f,601
county name,COFFEE,t,601
phone number,3348972257,f,601
hospital type,Acute Care Hospitals,t,601
hospital owner,Voluntary non-profit - Other,t,601
emergency service,Yes,t,601
condition,Heart Failure,f,601
measure code,HF-3,f,601
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,601
score,,t,601
sample,0 patients,t,601
stateavg,AL_HF-3,t,601
provider number,10027,t,602
hospital name,ELBA GENERAL HOSPITAL,t,602
address1,987 DRAYTON STREET,t,602
address2,,t,602
address3,,t,602
city,ExBA,f,602
state,AL,f,602
zip code,36323,f,602
county name,COFFEE,t,602
phone number,3348972257,f,602
hospital type,Acute Care Hospitals,t,602
hospital owner,Voluntary non-profit - Other,t,602
emergency service,Yes,t,602
condition,Heart Failure,f,602
measure code,HF-4,f,602
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,602
score,,t,602
sample,0 patients,t,602
stateavg,AL_HF-4,f,602
provider number,10027,t,603
hospital name,ELBA GENERAL HOSPITAL,t,603
address1,987 DRAYTON STREET,t,603
address2,,t,603
address3,,t,603
city,ELBA,f,603
state,AL,f,603
zip code,36323,f,603
county name,COFFxx,t,603
phone number,3348972257,f,603
hospital type,Acute Care Hospitals,t,603
hospital owner,Voluntary non-profit - Other,t,603
emergency service,Yes,t,603
condition,Pneumonia,t,603
measure code,PN-2,f,603
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,603
score,100%,t,603
sample,31 patients,t,603
stateavg,AL_PN-2,f,603
provider number,10027,t,604
hospital name,ELBA GENERAL HOSPITAL,t,604
address1,987 DRAYTON STREET,t,604
address2,,t,604
address3,,t,604
city,ELBA,f,604
state,AL,f,604
zip code,36323,f,604
county name,COFFEE,t,604
phone number,3348972257,f,604
hospital type,Acute Care Hospitals,t,604
hospital owner,Voluntary non-profit - Other,t,604
emergency service,Yes,t,604
condition,Pneumonia,f,604
measure code,PN-3B,f,604
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,604
score,100%,t,604
sample,19 patients,t,604
stateavg,AL_PN-3B,f,604
provider number,10027,t,605
hospital name,ELBA GENERAL HOSPITAL,t,605
address1,987 DRAYTON STREET,t,605
address2,,t,605
address3,,t,605
city,ELBA,f,605
state,AL,f,605
zip code,36323,f,605
county name,COFFEE,t,605
phone number,3348972257,f,605
hospital type,Acute Care Hospitals,t,605
hospital owner,Voluntary non-profit - Other,t,605
emergency service,Yes,t,605
condition,Pneumonia,f,605
measure code,PN-4,f,605
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,605
score,100%,t,605
sample,12 patients,t,605
stateavg,AL_PN-4,t,605
provider number,10027,t,606
hospital name,ELBA GENERAL HOSPITAL,t,606
address1,987 DRAYTON STREET,t,606
address2,,t,606
address3,,t,606
city,ELBA,f,606
state,AL,f,606
zip code,36323,f,606
county name,COFFEE,t,606
phone number,3348972257,f,606
hospital type,Acute Care Hospitals,t,606
hospital owner,Voluntary non-profit - Other,t,606
emergency service,Yes,t,606
condition,Pneumonia,f,606
measure code,PN-5C,f,606
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,606
score,100%,t,606
sample,40 patients,t,606
stateavg,AL_PN-5C,f,606
provider number,10027,t,607
hospital name,ELBA GENERAL HOSPITAL,t,607
address1,987 DRAYTON STREET,t,607
address2,,t,607
address3,,t,607
city,ELBA,f,607
state,AL,f,607
zip code,36323,f,607
county name,COFFEE,t,607
phone number,3348972257,f,607
hospital type,Acute Care Hospitals,t,607
hospital owner,Voluntary non-profit - Other,t,607
emergency service,Yes,t,607
condition,Pneumonia,f,607
measure code,PN-6,f,607
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,607
score,93%,t,607
sample,30 patients,t,607
stateavg,AL_PN-6,f,607
provider number,10027,t,608
hospital name,ELBA GENERAL HOSPITAL,t,608
address1,987 DRAYTON STREET,t,608
address2,,t,608
address3,,t,608
city,ELBA,f,608
state,AL,f,608
zip code,36323,f,608
county name,COFFEE,t,608
phone number,3348972257,f,608
hospital type,Acute Care Hospitals,t,608
hospital owner,Voluntary non-profit - Other,t,608
emergency service,Yes,t,608
condition,Pneumonia,t,608
measure code,PN-7,f,608
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,608
score,100%,t,608
sample,23 patients,t,608
stateavg,AL_PN-7,f,608
provider number,x0027,t,609
hospital name,ELBA GENERAL HOSPITAL,t,609
address1,987 DRAYTON STREET,t,609
address2,,t,609
address3,,t,609
city,ELBA,f,609
state,AL,f,609
zip code,36323,f,609
county name,COFFEE,t,609
phone number,3348972257,f,609
hospital type,Acute Care Hospitals,t,609
hospital owner,Voluntary non-profit - Other,t,609
emergency service,Yes,t,609
condition,Surgical Ixfectiox Prevextiox,f,609
measure code,SCIP-CARD-2,f,609
phone number,3348972257,f,616
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,609
score,,t,609
sample,,t,609
stateavg,AL_SCIP-CARD-2,t,609
provider number,10027,t,610
hospital name,ELBA GENERAL HOSPITAL,t,610
address1,987 DRAYTON STREET,t,610
address2,,t,610
address3,,t,610
city,ELBA,f,610
state,AL,f,610
zip code,36323,f,610
county name,COFFEE,t,610
phone number,3348972257,f,610
hospital type,Acute Care Hospitals,t,610
hospital owner,Voluntary non-profit - Other,t,610
emergency service,Yes,t,610
condition,Surgical Infection Prevention,t,610
measure code,SCIP-INF-1,t,610
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,610
score,,t,610
sample,,t,610
stateavg,AL_SCIP-INF-1,t,610
provider number,10027,t,611
hospital name,ELBA GENERAL HOSPITAL,t,611
address1,987 DRAYTON STREET,t,611
address2,,t,611
address3,,t,611
city,ELBA,f,611
state,AL,f,611
zip code,36323,f,611
county name,COFFEE,t,611
phone number,3348972257,f,611
hospital type,Acute Care Hospitals,t,611
hospital owner,Voluntary non-profit - Other,t,611
emergency service,Yes,t,611
condition,Surgical Infection Prevention,f,611
measure code,SCIP-INF-2,f,611
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,611
score,,t,611
sample,,t,611
stateavg,AL_SCIP-INF-2,f,611
provider number,10027,t,612
hospital name,ELBA GENERAL HOSPITAL,t,612
address1,987 DRAYTON STREET,t,612
address2,,t,612
address3,,t,612
city,ELBA,f,612
state,AL,f,612
zip code,36323,f,612
county name,COFFEE,t,612
phone number,3348972257,f,612
hospital type,Acute Care Hospitals,t,612
hospital owner,Voluntary non-profit - Other,t,612
emergency service,Yes,t,612
condition,Surgical Infection Prevention,f,612
measure code,SCIP-INF-3,f,612
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,612
score,,t,612
sample,,t,612
stateavg,AL_SCIP-INF-3,t,612
provider number,10027,t,613
hospital name,ELBA GENERAL HOSPITAL,t,613
address1,987 DRAYTON STREET,t,613
address2,,t,613
address3,,t,613
city,ELBA,f,613
state,AL,f,613
zip code,36323,f,613
county name,COFFEE,t,613
phone number,3348972257,f,613
hospital type,Acute Care Hospitals,t,613
hospital owner,Voluntary non-profit - Other,t,613
emergency service,Yes,t,613
condition,Surgical Infection Prevention,f,613
measure code,SCIP-INF-4,f,613
measure name,all heaxt suxgexy patients whose blood sugax (blood glucose) is kept undex good contxol in the days xight aftex suxgexy,f,613
score,,t,613
sample,,t,613
stateavg,AL_SCIP-INF-4,t,613
provider number,10027,t,614
hospital name,ELBA GENERAL HOSPITAL,t,614
address1,987 DRAYTON STREET,t,614
address2,,t,614
address3,,t,614
city,ELBA,f,614
state,AL,f,614
zip code,36323,f,614
county name,COFFEE,t,614
phone number,3348972257,f,614
hospital type,Acute Care Hospitals,t,614
hospital owner,Voluntary non-profit - Other,t,614
emergency service,Yes,t,614
